epoch,train_loss,val_loss,train_acc,val_acc,iteration,branching,dropout,dataset,network,lr
0,0.6941952109336853,0.6927363872528076,0.46875,0.5199999809265137,0,2,0.0,mnist-49,binary_mln,0.05
1,0.6937978863716125,0.692553699016571,0.46875,0.5199999809265137,0,2,0.0,mnist-49,binary_mln,0.05
2,0.6932709813117981,0.691012978553772,0.46875,0.5199999809265137,0,2,0.0,mnist-49,binary_mln,0.05
3,0.6924533247947693,0.6916974782943726,0.46875,0.5199999809265137,0,2,0.0,mnist-49,binary_mln,0.05
4,0.6909112930297852,0.6888564825057983,0.46875,0.550000011920929,0,2,0.0,mnist-49,binary_mln,0.05
5,0.6888938546180725,0.6839010119438171,0.5234375,0.6100000143051147,0,2,0.0,mnist-49,binary_mln,0.05
6,0.6785624027252197,0.6870298981666565,0.609375,0.5600000023841858,0,2,0.0,mnist-49,binary_mln,0.05
7,0.669644296169281,0.6903622150421143,0.6171875,0.550000011920929,0,2,0.0,mnist-49,binary_mln,0.05
8,0.6602098941802979,0.6636407375335693,0.6328125,0.5799999833106995,0,2,0.0,mnist-49,binary_mln,0.05
9,0.6348531246185303,0.6420208215713501,0.6484375,0.6899999976158142,0,2,0.0,mnist-49,binary_mln,0.05
10,0.6145219206809998,0.6119296550750732,0.6953125,0.6899999976158142,0,2,0.0,mnist-49,binary_mln,0.05
11,0.5751169919967651,0.6032806634902954,0.71875,0.7099999785423279,0,2,0.0,mnist-49,binary_mln,0.05
12,0.5494453310966492,0.5887035131454468,0.71875,0.7300000190734863,0,2,0.0,mnist-49,binary_mln,0.05
13,0.5312424302101135,0.5934607982635498,0.7578125,0.699999988079071,0,2,0.0,mnist-49,binary_mln,0.05
14,0.5184304714202881,0.5589354038238525,0.78125,0.7799999713897705,0,2,0.0,mnist-49,binary_mln,0.05
15,0.4997505247592926,0.5456098318099976,0.859375,0.800000011920929,0,2,0.0,mnist-49,binary_mln,0.05
16,0.4877704679965973,0.5259727239608765,0.875,0.8199999928474426,0,2,0.0,mnist-49,binary_mln,0.05
17,0.4510332942008972,0.48809659481048584,0.8828125,0.8100000023841858,0,2,0.0,mnist-49,binary_mln,0.05
18,0.397798627614975,0.5152489542961121,0.890625,0.7900000214576721,0,2,0.0,mnist-49,binary_mln,0.05
19,0.3686414957046509,0.5979925394058228,0.8828125,0.8199999928474426,0,2,0.0,mnist-49,binary_mln,0.05
20,0.3670468032360077,0.5151692032814026,0.8671875,0.8199999928474426,0,2,0.0,mnist-49,binary_mln,0.05
21,0.3355194628238678,0.5518386960029602,0.8984375,0.8199999928474426,0,2,0.0,mnist-49,binary_mln,0.05
22,0.3227992653846741,0.5223763585090637,0.890625,0.8500000238418579,0,2,0.0,mnist-49,binary_mln,0.05
23,0.2923237085342407,0.5007164478302002,0.9140625,0.8500000238418579,0,2,0.0,mnist-49,binary_mln,0.05
24,0.2537572383880615,0.4950729012489319,0.9140625,0.8600000143051147,0,2,0.0,mnist-49,binary_mln,0.05
25,0.2263643741607666,0.4423268139362335,0.9296875,0.8799999952316284,0,2,0.0,mnist-49,binary_mln,0.05
26,0.19856277108192444,0.40734562277793884,0.9296875,0.8799999952316284,0,2,0.0,mnist-49,binary_mln,0.05
27,0.18438246846199036,0.407942533493042,0.921875,0.8799999952316284,0,2,0.0,mnist-49,binary_mln,0.05
28,0.17959608137607574,0.4368845820426941,0.90625,0.8799999952316284,0,2,0.0,mnist-49,binary_mln,0.05
29,0.15801988542079926,0.5183737874031067,0.9375,0.8799999952316284,0,2,0.0,mnist-49,binary_mln,0.05
30,0.1393968015909195,0.6736545562744141,0.9453125,0.8700000047683716,0,2,0.0,mnist-49,binary_mln,0.05
31,0.14503712952136993,0.5190426111221313,0.953125,0.8799999952316284,0,2,0.0,mnist-49,binary_mln,0.05
32,0.10760954022407532,0.4484822750091553,0.96875,0.8899999856948853,0,2,0.0,mnist-49,binary_mln,0.05
33,0.1000041663646698,0.39952248334884644,0.9609375,0.8799999952316284,0,2,0.0,mnist-49,binary_mln,0.05
34,0.09818436205387115,0.35525932908058167,0.953125,0.8799999952316284,0,2,0.0,mnist-49,binary_mln,0.05
35,0.09535746276378632,0.43632563948631287,0.953125,0.8700000047683716,0,2,0.0,mnist-49,binary_mln,0.05
36,0.12621407210826874,0.45711052417755127,0.9453125,0.8700000047683716,0,2,0.0,mnist-49,binary_mln,0.05
37,0.0987706407904625,0.45392435789108276,0.9609375,0.8799999952316284,0,2,0.0,mnist-49,binary_mln,0.05
38,0.09778331220149994,1.488153100013733,0.9609375,0.8899999856948853,0,2,0.0,mnist-49,binary_mln,0.05
39,0.11729796975851059,0.46175652742385864,0.9609375,0.8899999856948853,0,2,0.0,mnist-49,binary_mln,0.05
40,0.06590371578931808,0.36905941367149353,0.9765625,0.8999999761581421,0,2,0.0,mnist-49,binary_mln,0.05
41,0.07220149040222168,0.312847763299942,0.96875,0.8999999761581421,0,2,0.0,mnist-49,binary_mln,0.05
42,0.07241378724575043,0.42632564902305603,0.9765625,0.8899999856948853,0,2,0.0,mnist-49,binary_mln,0.05
43,0.05915967375040054,0.4928132891654968,0.9765625,0.8999999761581421,0,2,0.0,mnist-49,binary_mln,0.05
44,0.05089834704995155,0.5410394072532654,0.9921875,0.9100000262260437,0,2,0.0,mnist-49,binary_mln,0.05
45,0.05138023942708969,0.5557525157928467,0.9921875,0.9100000262260437,0,2,0.0,mnist-49,binary_mln,0.05
46,0.049218058586120605,0.5515812039375305,0.9921875,0.8999999761581421,0,2,0.0,mnist-49,binary_mln,0.05
47,0.04540020972490311,0.5383574962615967,0.9921875,0.8899999856948853,0,2,0.0,mnist-49,binary_mln,0.05
48,0.04163045063614845,0.5234842300415039,0.9921875,0.8700000047683716,0,2,0.0,mnist-49,binary_mln,0.05
49,0.04341881722211838,0.48107558488845825,0.984375,0.8899999856948853,0,2,0.0,mnist-49,binary_mln,0.05
50,0.055477388203144073,0.4934753477573395,0.96875,0.8999999761581421,0,2,0.0,mnist-49,binary_mln,0.05
51,0.05566766485571861,0.5005077123641968,0.96875,0.8999999761581421,0,2,0.0,mnist-49,binary_mln,0.05
52,0.04234990477561951,0.5414800643920898,0.984375,0.8899999856948853,0,2,0.0,mnist-49,binary_mln,0.05
53,0.037818554788827896,0.548291802406311,0.984375,0.8999999761581421,0,2,0.0,mnist-49,binary_mln,0.05
54,0.03251489996910095,0.5684353709220886,0.9921875,0.8999999761581421,0,2,0.0,mnist-49,binary_mln,0.05
