epoch,train_loss,val_loss,train_acc,val_acc,iteration,branching,dropout,dataset,network,lr
0,2.3019306659698486,2.299102783203125,0.109375,0.1,0,2,0.0,mnist,multiclass_mln,0.05
1,2.298633098602295,2.299713373184204,0.1171875,0.1,0,2,0.0,mnist,multiclass_mln,0.05
2,2.295445203781128,2.300529718399048,0.1171875,0.1,0,2,0.0,mnist,multiclass_mln,0.05
3,2.2930874824523926,2.2955989837646484,0.1171875,0.1,0,2,0.0,mnist,multiclass_mln,0.05
4,2.2884469032287598,2.2907161712646484,0.1171875,0.11,0,2,0.0,mnist,multiclass_mln,0.05
5,2.281367301940918,2.286156415939331,0.125,0.13,0,2,0.0,mnist,multiclass_mln,0.05
6,2.270711660385132,2.2825112342834473,0.140625,0.13,0,2,0.0,mnist,multiclass_mln,0.05
7,2.2554750442504883,2.279874801635742,0.1875,0.15,0,2,0.0,mnist,multiclass_mln,0.05
8,2.2395553588867188,2.2641282081604004,0.1953125,0.21,0,2,0.0,mnist,multiclass_mln,0.05
9,2.2170827388763428,2.2517359256744385,0.2578125,0.23,0,2,0.0,mnist,multiclass_mln,0.05
10,2.1886794567108154,2.2365612983703613,0.2890625,0.22,0,2,0.0,mnist,multiclass_mln,0.05
11,2.16001558303833,2.2276155948638916,0.3125,0.21,0,2,0.0,mnist,multiclass_mln,0.05
12,2.137904644012451,2.197957754135132,0.3125,0.24,0,2,0.0,mnist,multiclass_mln,0.05
13,2.117546796798706,2.1878740787506104,0.328125,0.26,0,2,0.0,mnist,multiclass_mln,0.05
14,2.0909812450408936,2.1688694953918457,0.34375,0.27,0,2,0.0,mnist,multiclass_mln,0.05
15,2.0625133514404297,2.1295976638793945,0.453125,0.4,0,2,0.0,mnist,multiclass_mln,0.05
16,2.031794786453247,2.095694065093994,0.515625,0.44,0,2,0.0,mnist,multiclass_mln,0.05
17,1.989780306816101,2.07531476020813,0.5390625,0.43,0,2,0.0,mnist,multiclass_mln,0.05
18,1.9561777114868164,2.0355796813964844,0.5703125,0.48,0,2,0.0,mnist,multiclass_mln,0.05
19,1.8981789350509644,2.010028600692749,0.625,0.47000000000000003,0,2,0.0,mnist,multiclass_mln,0.05
20,1.8715858459472656,2.007089853286743,0.6328125,0.47000000000000003,0,2,0.0,mnist,multiclass_mln,0.05
21,1.8393446207046509,1.9885400533676147,0.6484375,0.5,0,2,0.0,mnist,multiclass_mln,0.05
22,1.8292803764343262,1.9876066446304321,0.640625,0.48,0,2,0.0,mnist,multiclass_mln,0.05
23,1.8282127380371094,1.985292911529541,0.640625,0.48,0,2,0.0,mnist,multiclass_mln,0.05
24,1.8066706657409668,1.9912654161453247,0.65625,0.46,0,2,0.0,mnist,multiclass_mln,0.05
25,1.7963011264801025,1.9953340291976929,0.65625,0.47000000000000003,0,2,0.0,mnist,multiclass_mln,0.05
26,1.8140748739242554,1.9992096424102783,0.65625,0.46,0,2,0.0,mnist,multiclass_mln,0.05
27,1.800257682800293,2.0079715251922607,0.671875,0.45,0,2,0.0,mnist,multiclass_mln,0.05
28,1.7815717458724976,2.004918098449707,0.6875,0.45,0,2,0.0,mnist,multiclass_mln,0.05
29,1.7706800699234009,1.9946017265319824,0.6953125,0.46,0,2,0.0,mnist,multiclass_mln,0.05
30,1.78722083568573,2.0058090686798096,0.6796875,0.46,0,2,0.0,mnist,multiclass_mln,0.05
31,1.7829807996749878,1.9687005281448364,0.6953125,0.47000000000000003,0,2,0.0,mnist,multiclass_mln,0.05
32,1.7684561014175415,1.9680564403533936,0.6953125,0.48,0,2,0.0,mnist,multiclass_mln,0.05
33,1.753606915473938,1.9700196981430054,0.7109375,0.49,0,2,0.0,mnist,multiclass_mln,0.05
34,1.7457677125930786,1.9682817459106445,0.7109375,0.49,0,2,0.0,mnist,multiclass_mln,0.05
35,1.7357383966445923,1.9507322311401367,0.7265625,0.52,0,2,0.0,mnist,multiclass_mln,0.05
36,1.737898588180542,1.922576904296875,0.7265625,0.53,0,2,0.0,mnist,multiclass_mln,0.05
37,1.7392241954803467,1.9092615842819214,0.71875,0.55,0,2,0.0,mnist,multiclass_mln,0.05
38,1.7418006658554077,1.9273743629455566,0.71875,0.52,0,2,0.0,mnist,multiclass_mln,0.05
39,1.7496987581253052,1.924100399017334,0.7109375,0.54,0,2,0.0,mnist,multiclass_mln,0.05
40,1.7444921731948853,1.9352649450302124,0.71875,0.52,0,2,0.0,mnist,multiclass_mln,0.05
41,1.7335686683654785,1.9568583965301514,0.7265625,0.5,0,2,0.0,mnist,multiclass_mln,0.05
42,1.7365678548812866,1.9602206945419312,0.71875,0.5,0,2,0.0,mnist,multiclass_mln,0.05
43,1.7406351566314697,1.9611783027648926,0.7265625,0.5,0,2,0.0,mnist,multiclass_mln,0.05
44,1.7383393049240112,1.9511843919754028,0.71875,0.5,0,2,0.0,mnist,multiclass_mln,0.05
45,1.7300678491592407,1.9650226831436157,0.7265625,0.5,0,2,0.0,mnist,multiclass_mln,0.05
46,1.7134853601455688,1.9815293550491333,0.75,0.49,0,2,0.0,mnist,multiclass_mln,0.05
47,1.7255488634109497,1.999800682067871,0.734375,0.46,0,2,0.0,mnist,multiclass_mln,0.05
48,1.7215174436569214,1.9806557893753052,0.7421875,0.49,0,2,0.0,mnist,multiclass_mln,0.05
49,1.7151929140090942,1.9609439373016357,0.7421875,0.51,0,2,0.0,mnist,multiclass_mln,0.05
50,1.713230013847351,1.9334439039230347,0.75,0.53,0,2,0.0,mnist,multiclass_mln,0.05
51,1.7054765224456787,1.9087815284729004,0.7578125,0.55,0,2,0.0,mnist,multiclass_mln,0.05
52,1.7069196701049805,1.9159833192825317,0.75,0.55,0,2,0.0,mnist,multiclass_mln,0.05
53,1.703066110610962,1.912447452545166,0.7578125,0.55,0,2,0.0,mnist,multiclass_mln,0.05
54,1.7127058506011963,1.9164100885391235,0.75,0.54,0,2,0.0,mnist,multiclass_mln,0.05
55,1.7151299715042114,1.9355361461639404,0.7421875,0.52,0,2,0.0,mnist,multiclass_mln,0.05
56,1.7027015686035156,1.9376845359802246,0.7578125,0.53,0,2,0.0,mnist,multiclass_mln,0.05
57,1.7087470293045044,1.970426082611084,0.75,0.48,0,2,0.0,mnist,multiclass_mln,0.05
58,1.7100598812103271,1.9927467107772827,0.75,0.46,0,2,0.0,mnist,multiclass_mln,0.05
59,1.7071142196655273,1.9499553442001343,0.75,0.51,0,2,0.0,mnist,multiclass_mln,0.05
60,1.6940711736679077,1.9122198820114136,0.765625,0.53,0,2,0.0,mnist,multiclass_mln,0.05
61,1.7030433416366577,1.8845717906951904,0.7578125,0.5700000000000001,0,2,0.0,mnist,multiclass_mln,0.05
