epoch,train_loss,val_loss,train_acc,val_acc,iteration,mid_layer,dropout,dataset,network,lr
0,2.308608055114746,2.3046398162841797,0.0703125,0.11,0,2,0.0,mnist,multiclass_mlp,0.001
1,2.2977168560028076,2.305457830429077,0.1015625,0.11,0,2,0.0,mnist,multiclass_mlp,0.001
2,2.2936747074127197,2.3042993545532227,0.1328125,0.11,0,2,0.0,mnist,multiclass_mlp,0.001
3,2.290670871734619,2.3016982078552246,0.15625,0.12,0,2,0.0,mnist,multiclass_mlp,0.001
4,2.2868759632110596,2.2976858615875244,0.1640625,0.14,0,2,0.0,mnist,multiclass_mlp,0.001
5,2.282853841781616,2.2926621437072754,0.1640625,0.15,0,2,0.0,mnist,multiclass_mlp,0.001
6,2.280048131942749,2.2862625122070312,0.1484375,0.18,0,2,0.0,mnist,multiclass_mlp,0.001
7,2.2769036293029785,2.2791435718536377,0.1640625,0.17,0,2,0.0,mnist,multiclass_mlp,0.001
8,2.2735068798065186,2.2722771167755127,0.171875,0.18,0,2,0.0,mnist,multiclass_mlp,0.001
9,2.269700527191162,2.2659969329833984,0.1875,0.19,0,2,0.0,mnist,multiclass_mlp,0.001
10,2.2664568424224854,2.260915756225586,0.1875,0.19,0,2,0.0,mnist,multiclass_mlp,0.001
11,2.2638132572174072,2.257329225540161,0.1875,0.19,0,2,0.0,mnist,multiclass_mlp,0.001
12,2.260509967803955,2.2543516159057617,0.1875,0.19,0,2,0.0,mnist,multiclass_mlp,0.001
13,2.257239818572998,2.2515745162963867,0.1953125,0.19,0,2,0.0,mnist,multiclass_mlp,0.001
14,2.254199266433716,2.2488064765930176,0.1953125,0.2,0,2,0.0,mnist,multiclass_mlp,0.001
15,2.251358985900879,2.2461485862731934,0.1953125,0.2,0,2,0.0,mnist,multiclass_mlp,0.001
16,2.2484238147735596,2.243497610092163,0.203125,0.2,0,2,0.0,mnist,multiclass_mlp,0.001
17,2.245630979537964,2.240886688232422,0.203125,0.2,0,2,0.0,mnist,multiclass_mlp,0.001
18,2.2430262565612793,2.2384328842163086,0.203125,0.2,0,2,0.0,mnist,multiclass_mlp,0.001
19,2.240532875061035,2.236116409301758,0.1953125,0.21,0,2,0.0,mnist,multiclass_mlp,0.001
20,2.2381784915924072,2.233797073364258,0.1953125,0.21,0,2,0.0,mnist,multiclass_mlp,0.001
21,2.23590350151062,2.231492280960083,0.203125,0.22,0,2,0.0,mnist,multiclass_mlp,0.001
22,2.233686685562134,2.2293245792388916,0.203125,0.24,0,2,0.0,mnist,multiclass_mlp,0.001
23,2.231675624847412,2.2272095680236816,0.203125,0.24,0,2,0.0,mnist,multiclass_mlp,0.001
24,2.229902744293213,2.2249956130981445,0.203125,0.24,0,2,0.0,mnist,multiclass_mlp,0.001
25,2.2282838821411133,2.2228522300720215,0.203125,0.24,0,2,0.0,mnist,multiclass_mlp,0.001
26,2.2268340587615967,2.22092604637146,0.203125,0.24,0,2,0.0,mnist,multiclass_mlp,0.001
27,2.2254996299743652,2.2193305492401123,0.203125,0.24,0,2,0.0,mnist,multiclass_mlp,0.001
28,2.2241132259368896,2.2179148197174072,0.203125,0.24,0,2,0.0,mnist,multiclass_mlp,0.001
29,2.2223398685455322,2.216418504714966,0.21875,0.24,0,2,0.0,mnist,multiclass_mlp,0.001
30,2.2198646068573,2.214973211288452,0.2265625,0.24,0,2,0.0,mnist,multiclass_mlp,0.001
31,2.2171425819396973,2.213953733444214,0.234375,0.25,0,2,0.0,mnist,multiclass_mlp,0.001
32,2.2145159244537354,2.2131476402282715,0.2265625,0.25,0,2,0.0,mnist,multiclass_mlp,0.001
33,2.2113242149353027,2.21252179145813,0.234375,0.25,0,2,0.0,mnist,multiclass_mlp,0.001
34,2.2080721855163574,2.211934804916382,0.234375,0.24,0,2,0.0,mnist,multiclass_mlp,0.001
35,2.20509672164917,2.2111427783966064,0.234375,0.25,0,2,0.0,mnist,multiclass_mlp,0.001
36,2.202039957046509,2.210160732269287,0.25,0.26,0,2,0.0,mnist,multiclass_mlp,0.001
37,2.199113130569458,2.209049940109253,0.25,0.26,0,2,0.0,mnist,multiclass_mlp,0.001
38,2.196319103240967,2.2079403400421143,0.25,0.26,0,2,0.0,mnist,multiclass_mlp,0.001
39,2.1936419010162354,2.207000970840454,0.25,0.26,0,2,0.0,mnist,multiclass_mlp,0.001
40,2.191127300262451,2.2062418460845947,0.2578125,0.26,0,2,0.0,mnist,multiclass_mlp,0.001
41,2.1888768672943115,2.2057931423187256,0.2578125,0.25,0,2,0.0,mnist,multiclass_mlp,0.001
42,2.186784029006958,2.205509662628174,0.2578125,0.25,0,2,0.0,mnist,multiclass_mlp,0.001
